Designator,Mid X,Mid Y,Rotation,Layer
C1,129.5,-56.5,0.0,top
C2,117.205112,-61.0,0.0,top
C3,132.0,-66.5,0.0,top
C4,131.0,-71.5,0.0,top
C5,144.0,-58.0,0.0,top
J1,128.62,-98.28,0.0,top
J2,139.71,-111.18,0.0,top
Q1,113.12,-102.51,0.0,top
R1,48.69,-65.5,0.0,top
R10,147.0,-180.0,90.0,top
R11,184.19,-164.5,0.0,top
R12,185.19,-143.5,0.0,top
R13,184.69,-123.5,0.0,top
R14,185.19,-104.0,0.0,top
R15,184.69,-84.0,0.0,top
R16,168.5,-45.81,90.0,top
R17,148.0,-45.81,90.0,top
R18,127.0,-44.31,90.0,top
R19,106.5,-44.81,90.0,top
R2,47.19,-85.0,0.0,top
R20,87.0,-44.81,90.0,top
R21,125.69,-79.5,0.0,top
R3,48.0,-105.5,0.0,top
R4,48.0,-126.0,0.0,top
R5,48.0,-145.0,0.0,top
R6,65.5,-176.5,270.0,top
R7,86.0,-180.5,90.0,top
R8,106.5,-178.5,90.0,top
R9,127.0,-180.31,90.0,top
SW1,46.25,-74.5,0.0,top
SW10,157.0,-178.5,0.0,top
SW11,186.75,-155.0,0.0,top
SW12,186.75,-134.5,0.0,top
SW13,187.0,-114.0,0.0,top
SW14,187.25,-94.0,0.0,top
SW15,187.0,-74.0,0.0,top
SW16,157.75,-42.0,0.0,top
SW17,137.0,-41.5,0.0,top
SW18,116.75,-41.5,0.0,top
SW19,96.25,-41.5,0.0,top
SW2,46.5,-94.0,0.0,top
SW20,76.25,-42.0,0.0,top
SW3,46.5,-114.5,0.0,top
SW4,46.25,-134.5,0.0,top
SW5,46.25,-155.0,0.0,top
SW6,76.0,-179.0,0.0,top
SW7,96.5,-178.5,0.0,top
SW8,117.0,-178.5,0.0,top
SW9,136.5,-179.0,0.0,top
U1,111.445,-120.915,0.0,top
U2,46.32,-152.48,0.0,bottom
U3,89.82,-96.8,0.0,bottom
U4,123.205,-111.395,0.0,top
U5,131.825,-111.395,0.0,top
